location,users
United States,118493
India,25367
Canada,20268
United Kingdom,8527
France,5381
Spain,5044
Germany,4866
China,4620
Taiwan,4568
Italy,3750
Singapore,3597
Japan,3547
South Korea,3424
Netherlands,3042
Turkey,2733
Brazil,2696
Australia,2453
Indonesia,2408
Poland,2368
Mexico,2264
(not set),2168
Russia,1758
Hong Kong,1652
Ireland,1584
Sweden,1490
Malaysia,1430
Switzerland,1428
Philippines,1333
Colombia,1285
Israel,1262
Pakistan,1206
Peru,1195
Thailand,1191
Portugal,1165
Vietnam,1128
Belgium,1116
Ukraine,990
Greece,975
United Arab Emirates,844
Denmark,748
Romania,723
Argentina,710
Czechia,700
Austria,687
Saudi Arabia,575
Egypt,549
Bangladesh,540
Sri Lanka,475
Finland,468
South Africa,467
Chile,466
Norway,416
Nigeria,384
Hungary,381
New Zealand,371
Morocco,370
Slovakia,362
Croatia,326
Bulgaria,311
Lithuania,245
Ecuador,245
Slovenia,224
Serbia,216
Puerto Rico,175
Iraq,172
Kenya,168
Algeria,164
Kazakhstan,156
Jordan,156
Kuwait,155
Dominican Republic,154
Tunisia,143
Costa Rica,140
Georgia,124
Latvia,123
Belarus,121
Azerbaijan,120
Nepal,113
North Macedonia,113
Palestine,112
Lebanon,111
Myanmar (Burma),107
Cambodia,107
Uruguay,104
Estonia,103
Qatar,101
Cyprus,95
Guatemala,93
Venezuela,92
Jamaica,89
Iceland,83
El Salvador,81
Albania,71
Bolivia,69
Oman,66
Mongolia,66
Ghana,65
Panama,62
Armenia,60
Bosnia & Herzegovina,60
Malta,57
Luxembourg,56
Macao,55
Trinidad & Tobago,55
Bahamas,54
Kosovo,53
Bahrain,53
Honduras,51
Paraguay,51
