item_name,total_revenue,revenue_rank,dense_rank,row_number
Google Zip Hoodie F/C,12936.0,1,1,1
Google Crewneck Sweatshirt Navy,10219.0,2,2,2
Google Men's Tech Fleece Grey,9147.0,3,3,3
Google Badge Heavyweight Pullover Black,8920.0,4,4,4
Super G Unisex Joggers,8844.0,5,5,5
Google Crewneck Sweatshirt Green,8074.0,6,6,6
Google Men's Puff Jacket Black,6095.0,7,7,7
Google Sherpa Zip Hoodie Charcoal,5845.0,8,8,8
Google Women's Puff Jacket Black,5221.0,9,9,9
Google Utility BackPack,5160.0,10,10,10
Google Men's Tech Fleece Vest Charcoal,5059.0,11,11,11
Android Iconic Crewneck Sweatshirt,4939.0,12,12,12
Google Sherpa Zip Hoodie Navy,4787.0,13,13,13
Google Crewneck Sweatshirt Grey,4224.0,14,14,14
Google F/C Longsleeve Charcoal,4146.0,15,15,15
Google Red Speckled Tee,3996.0,16,16,16
Google Navy Speckled Tee,3936.0,17,17,17
Google Black Cloud Zip Hoodie,3742.0,18,18,18
Google Campus Bike,3704.0,19,19,19
Google Cotopaxi Shell,3622.0,20,20,20
Google F/C Longsleeve Ash,3570.0,21,21,21
Google Dino Game Tee,3360.0,22,22,22
Google Incognito Techpack V2,3154.0,23,23,23
Google Women's Grid Zip-Up,3030.0,24,24,24
Google Unisex Eco Tee Black,2972.0,25,25,25
Google Men's Softshell Moss,2866.0,26,26,26
Google Canteen Bottle Black,2856.0,27,27,27
Google NYC Campus Zip Hoodie,2764.0,28,28,28
Google Raincoat Navy,2664.0,29,29,29
Google Heathered Pom Beanie,2412.0,30,30,30
Google Camp Mug Ivory,2365.0,31,31,31
Google Toddler FC Zip Hoodie,2268.0,32,32,32
Google Women's Microfleece Jacket Black,2130.0,33,33,33
Google Flat Front Bag Grey,2100.0,34,34,34
Google Crew Socks,2086.0,35,35,35
Google Glass Bottle,2016.0,36,36,36
Google Perk Thermal Tumbler,1928.0,37,37,37
Google Leather Strap Hat Blue,1908.0,38,38,38
Google Sherpa Vest Black,1844.0,39,39,39
Google Land & Sea Cotton Cap,1837.0,40,40,40
YouTube Icon Tee Charcoal,1736.0,41,41,41
Google Heather Green Speckled Tee,1735.0,42,42,42
Google Woodtop Bottle Black,1674.0,43,43,43
Google Speckled Beanie Navy,1568.0,44,44,44
Google Incognito Zip Pack,1540.0,45,45,45
Noogler Android Figure,1484.0,46,46,46
Google Crew Combed Cotton Sock,1479.0,47,47,47
Google Chrome Dinosaur Collectible,1476.0,48,48,48
Android Pocket Tee Navy,1471.0,49,49,49
Womens Google Striped LS,1456.0,50,50,50
Google KeepCup,1421.0,51,51,51
Google Women's Tech Fleece Grey,1403.0,52,52,52
Google Land & Sea French Terry Sweatshirt,1375.0,53,53,53
YouTube Icon Tee Grey,1300.0,54,54,54
Google Soft Modal Scarf,1296.0,55,55,55
Google Land & Sea Nalgene Water Bottle,1280.0,56,56,56
Google Seaport Tote,1272.0,57,57,57
Google Thermal Tumbler Navy,1262.0,58,58,58
Google SF Campus Zip Hoodie,1206.0,59,59,59
Gift Card- $100.00,1200.0,60,60,60
Google Sunnyvale Campus Zip Hoodie,1161.0,61,61,61
Google Speckled Beanie Grey,1156.0,62,62,62
Google Women's Tech Fleece Vest Charcoal,1144.0,63,63,63
Google Camp Mug Gray,1105.0,64,64,64
Google Toddler FC Tee Charcoal,1080.0,65,65,65
YouTube Twill Sandwich Cap Black,1062.0,66,66,66
Gift Card - $25.00,1050.0,67,67,67
Google Super G Tumbler (Red Lid),1042.0,68,68,68
Google Infant Charcoal Onesie,1040.0,69,69,69
Google Large Standard Journal Grey,1035.0,70,70,70
Google Campus Bike Eco Tee Navy,1000.0,71,71,71
Google Knit Blanket,998.0,72,72,72
Google PNW Campus Zip Hoodie,987.0,73,73,73
Google Cork Base Tumbler,964.0,74,74,74
Android Pocket Onesie Navy,944.0,75,75,75
Google Blue Stojo Cup,915.0,76,76,76
Google Crew Striped Athletic Sock,901.0,77,77,77
Google Incognito Messenger Bag,900.0,78,78,78
Unisex Google Pocket Tee Grey,896.0,79,79,80
Google Packable Bag Black,896.0,79,79,79
Google Black Cork Journal,894.0,81,80,81
Google Incognito Laptop Organizer,887.0,82,81,82
Google Women's Softshell Moss,869.0,83,82,83
Google Summer19 Crew Grey,864.0,84,83,84
Google Youth FC Tee Charcoal,850.0,85,84,85
Google Youth Hero Tee Grey,848.0,86,85,86
Google Large Tote White,844.0,87,86,87
#IamRemarkable Unisex Hoodie,842.0,88,87,88
YouTube Standards Zip Hoodie Black,840.0,89,88,89
Google Split Seam Tee Olive,839.0,90,89,90
Google Mountain View Campus Zip Hoodie,818.0,91,90,91
YouTube Leather Strap Hat Black,810.0,92,91,92
Google Campus Bike Bottle,785.0,93,92,93
Google Youth FC Longsleeve Charcoal,780.0,94,93,94
Google Austin Campus Zip Hoodie,768.0,95,94,95
Google Land & Sea Mug,760.0,96,95,96
Google Campus Bike Corkbase Mug Blue,758.0,97,96,97
Google Land & Sea Journal Set,738.0,98,97,98
Google Beekeepers Tee Mint,738.0,98,97,99
YouTube Crew Socks,728.0,100,98,100
Google Metallic Notebook Set,722.0,101,99,101
Daddy Works at Google Book,720.0,102,100,102
Google Cup Cap Tumbler Grey,714.0,103,101,103
Google Leather Strap Hat Black,713.0,104,102,104
Google Bear Baby Blanket Beige,703.0,105,103,105
Google NYC Campus Mug,697.0,106,104,106
Stan and Friends Tee Green,686.0,107,105,107
Google Magnet,680.0,108,106,108
Android Techie 3D Framed Art,672.0,109,107,109
Google Cambridge Campus Zip Hoodie,667.0,110,108,110
Google Hemp Tote,657.0,111,109,111
Google Incognito Dopp Kit V2,656.0,112,110,112
Google Campus Bike Mini Backpack,656.0,112,110,113
Google Land & Sea Tote Bag,652.0,114,111,114
Google LA Campus Zip Hoodie,644.0,115,112,115
Android Pocket Tee Green,640.0,116,113,117
Google Boulder Campus Zip Hoodie,640.0,116,113,116
Google Chicago Campus Zip Hoodie,635.0,118,114,118
#IamRemarkable Unisex T-Shirt,628.0,119,115,119
YouTube Play Mug,622.0,120,116,120
Google Mural Socks,621.0,121,117,121
Google Infant Hero Tee Olive,618.0,122,118,122
Google Mural Mug,609.0,123,119,123
Google Austin Campus Mug,585.0,124,120,124
